order_id,date,category,city,platform,payment_method,quantity,unit_price,revenue,order_status,delivery_days,rating
NG-10000,2023-09-03,Electronics,Kano,Instagram Shop,Pay on Delivery,4,217700.0,870800.0,Delivered,3,5.0
NG-10001,2023-10-27,Home & Living,Lagos,Jumia,Transfer,1,44600.0,0.0,Returned,4,
NG-10002,2023-07-28,Electronics,Benin City,Instagram Shop,Card,4,351600.0,0.0,Cancelled,6,
NG-10003,2023-07-08,Home & Living,Kano,Jumia,Card,1,42300.0,42300.0,Delivered,1,2.9
NG-10004,2023-03-19,Food & Drink,Abuja,Instagram Shop,Transfer,3,1700.0,5100.0,Delivered,2,4.2
NG-10005,2023-09-01,Books,Lagos,Instagram Shop,Transfer,1,3200.0,0.0,Cancelled,6,
NG-10006,2023-08-20,Electronics,Lagos,Instagram Shop,USSD,4,445500.0,0.0,Cancelled,8,
NG-10007,2023-09-11,Food & Drink,Lagos,WhatsApp Business,Pay on Delivery,1,2500.0,2500.0,Delivered,9,3.7
NG-10008,2023-11-15,Electronics,Kano,Konga,USSD,3,292200.0,876600.0,Delivered,6,3.0
NG-10009,2023-03-28,Beauty,Lagos,Konga,Cash on Delivery,3,19500.0,58500.0,Delivered,6,4.8
NG-10010,2023-03-25,Electronics,Abuja,Jumia,USSD,2,346400.0,0.0,Cancelled,8,
NG-10011,2023-05-06,Home & Living,Kaduna,Instagram Shop,Cash on Delivery,2,33200.0,66400.0,Delivered,8,3.9
NG-10012,2023-12-04,Fashion,Enugu,Konga,Transfer,1,38200.0,38200.0,Delivered,7,2.6
NG-10013,2023-09-03,Fashion,Benin City,WhatsApp Business,Cash on Delivery,2,39600.0,79200.0,Delivered,1,3.1
NG-10014,2023-07-08,Electronics,Ibadan,Instagram Shop,Cash on Delivery,3,451200.0,0.0,Cancelled,10,
NG-10015,2023-05-22,Books,Abuja,Jumia,Cash on Delivery,2,6200.0,12400.0,Delivered,3,4.4
NG-10016,2023-10-27,Sports,Kano,Jiji,Cash on Delivery,3,5300.0,0.0,Returned,3,
NG-10017,2023-01-13,Electronics,Lagos,Konga,Card,4,83900.0,0.0,Returned,2,
NG-10018,2023-06-16,Sports,Abuja,Instagram Shop,Transfer,3,19800.0,0.0,Returned,10,
NG-10019,2023-10-09,Electronics,Lagos,WhatsApp Business,Card,4,103100.0,412400.0,Delivered,1,4.0
NG-10020,2023-10-18,Food & Drink,Abuja,Konga,USSD,1,4000.0,4000.0,Delivered,10,4.6
NG-10021,2023-06-08,Beauty,Abuja,WhatsApp Business,Cash on Delivery,2,19200.0,38400.0,Delivered,10,4.5
NG-10022,2023-06-15,Fashion,Abuja,Jiji,USSD,1,25900.0,0.0,Cancelled,10,
NG-10023,2023-06-16,Home & Living,Lagos,Jiji,Cash on Delivery,2,61800.0,123600.0,Delivered,2,3.4
NG-10024,2023-08-18,Books,Kano,WhatsApp Business,Card,1,1800.0,0.0,Cancelled,8,
NG-10025,2023-02-06,Food & Drink,Enugu,Instagram Shop,Card,4,4400.0,17600.0,Delivered,4,2.6
NG-10026,2023-08-22,Beauty,Port Harcourt,Jiji,Cash on Delivery,4,18200.0,72800.0,Delivered,4,3.5
NG-10027,2023-03-30,Sports,Lagos,Jiji,Pay on Delivery,1,55200.0,0.0,Returned,4,
NG-10028,2023-09-13,Books,Lagos,Jiji,Pay on Delivery,3,5900.0,0.0,Returned,7,
NG-10029,2023-04-14,Books,Lagos,Konga,Card,1,6800.0,6800.0,Delivered,9,4.7
NG-10030,2023-07-12,Electronics,Kano,Jumia,Transfer,3,53600.0,0.0,Returned,7,
NG-10031,2023-12-15,Electronics,Kano,Jumia,USSD,3,344200.0,1032600.0,Delivered,9,3.2
NG-10032,2023-09-17,Beauty,Enugu,Jiji,Cash on Delivery,2,23700.0,47400.0,Delivered,3,3.1
NG-10033,2023-12-07,Food & Drink,Abuja,Instagram Shop,Pay on Delivery,4,4000.0,16000.0,Delivered,5,4.2
NG-10034,2023-11-19,Fashion,Lagos,WhatsApp Business,Pay on Delivery,2,10900.0,21800.0,Delivered,1,2.5
NG-10035,2023-01-04,Food & Drink,Lagos,Konga,Card,4,5100.0,0.0,Cancelled,5,
NG-10036,2023-03-11,Electronics,Abuja,Instagram Shop,Pay on Delivery,1,235200.0,0.0,Cancelled,1,
NG-10037,2023-05-06,Beauty,Enugu,WhatsApp Business,Cash on Delivery,4,6300.0,25200.0,Delivered,1,3.9
NG-10038,2023-12-03,Sports,Abuja,Instagram Shop,Pay on Delivery,1,36600.0,36600.0,Delivered,10,2.9
NG-10039,2023-12-13,Home & Living,Port Harcourt,Konga,USSD,4,51500.0,206000.0,Delivered,5,2.9
